,CH1,CH2,CH3,CH4
Second,Volt,Volt,Volt,Volt
-3.10240e-02,-4.00e-02,9.20e+00,-2.00e-01,9.60e+00, 
-3.10160e-02,-4.00e-02,9.20e+00,0.00e+00,9.60e+00, 
-3.10080e-02,3.00e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.10000e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.09920e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.09840e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.09760e-02,3.04e+00,9.20e+00,3.00e+00,9.20e+00, 
-3.09680e-02,3.08e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.09600e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.09520e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.09440e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.09360e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.09280e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.09200e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.09120e-02,3.08e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.09040e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.08960e-02,3.04e+00,9.40e+00,3.00e+00,9.60e+00, 
-3.08880e-02,3.00e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.08800e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.08720e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.08640e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.08560e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.08480e-02,3.00e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.08400e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.08320e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.08240e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.08160e-02,3.00e+00,9.40e+00,3.00e+00,9.60e+00, 
-3.08080e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.08000e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.07920e-02,3.04e+00,9.20e+00,3.00e+00,9.20e+00, 
-3.07840e-02,3.08e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.07760e-02,3.08e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.07680e-02,3.04e+00,9.40e+00,3.00e+00,9.20e+00, 
-3.07600e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.07520e-02,3.00e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.07440e-02,3.04e+00,9.20e+00,3.00e+00,9.20e+00, 
-3.07360e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.07280e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.07200e-02,3.00e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.07120e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.07040e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.06960e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.06880e-02,3.00e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.06800e-02,3.00e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.06720e-02,3.00e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.06640e-02,3.00e+00,9.20e+00,3.00e+00,9.20e+00, 
-3.06560e-02,3.00e+00,9.20e+00,2.80e+00,9.60e+00, 
-3.06480e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.06400e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.06320e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.06240e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.06160e-02,3.04e+00,9.20e+00,3.00e+00,9.20e+00, 
-3.06080e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.06000e-02,3.00e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.05920e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
-3.05840e-02,3.04e+00,9.20e+00,3.00e+00,9.60e+00, 
